texto_machista,texto_inclusivo,nivel,subcategoria,pais,contexto,marcadores_linguisticos,explicacion
"Parcero, no entiendes la lógica, llave",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,calle,"['parcero,' 'entiendes' 'lógica,' 'llave']",Explicación condescendiente asumiendo ignorancia
"Uy, en realidad funciona diferente, mijo",¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,citas,"['realidad' 'funciona' 'diferente,' 'mijo']",Explicación condescendiente asumiendo ignorancia
"Parcero, en realidad funciona diferente",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,laboral,"['parcero,' 'realidad' 'funciona' 'diferente']",Explicación condescendiente asumiendo ignorancia
Déjame explicarte algo básico,¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,redes_sociales,['déjame' 'explicarte' 'algo' 'básico'],Explicación condescendiente asumiendo ignorancia
"Parcero, es más complejo de lo que piensas",¿Qué opinas?,micromachismos,mansplaining,Colombia,laboral,"['parcero,' 'complejo' 'piensas']",Explicación condescendiente asumiendo ignorancia
No es exactamente así parce,¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,citas,['exactamente' 'parce'],Explicación condescendiente asumiendo ignorancia
"Déjame hacerte un dibujito, mi amor",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,laboral,"['déjame' 'hacerte' 'dibujito,' 'amor']",Explicación condescendiente asumiendo ignorancia
"Uy, lo que no sabes es",Interesante perspectiva,micromachismos,mansplaining,Colombia,educativo,['sabes'],Explicación condescendiente asumiendo ignorancia
"Llave, es más complejo de lo que piensas",Interesante perspectiva,micromachismos,mansplaining,Colombia,calle,"['llave,' 'complejo' 'piensas']",Explicación condescendiente asumiendo ignorancia
"Uy, déjame explicarte algo básico, uy",Interesante perspectiva,micromachismos,mansplaining,Colombia,educativo,"['déjame' 'explicarte' 'algo' 'básico,']",Explicación condescendiente asumiendo ignorancia
"Es más complejo de lo que piensas, llave",Cuéntame más,micromachismos,mansplaining,Colombia,familia,"['complejo' 'piensas,' 'llave']",Explicación condescendiente asumiendo ignorancia
"Lo que realmente pasa es, parcero",Interesante perspectiva,micromachismos,mansplaining,Colombia,social,['realmente' 'pasa' 'parcero'],Explicación condescendiente asumiendo ignorancia
"Parcero, lo que no sabes es parce",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,redes_sociales,"['parcero,' 'sabes' 'parce']",Explicación condescendiente asumiendo ignorancia
"Te lo voy a poner simple, mijo",Interesante perspectiva,micromachismos,mansplaining,Colombia,calle,"['poner' 'simple,' 'mijo']",Explicación condescendiente asumiendo ignorancia
"Parce, no entiendes la lógica",Interesante perspectiva,micromachismos,mansplaining,Colombia,familia,"['parce,' 'entiendes' 'lógica']",Explicación condescendiente asumiendo ignorancia
Te lo simplifico parce,Interesante perspectiva,micromachismos,mansplaining,Colombia,social,['simplifico' 'parce'],Explicación condescendiente asumiendo ignorancia
"Mi amor, te falta contexto mi amor",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,redes_sociales,"['amor,' 'falta' 'contexto' 'amor']",Explicación condescendiente asumiendo ignorancia
"Lo que no sabes es, o sea",¿Qué opinas?,micromachismos,mansplaining,Colombia,educativo,['sabes'],Explicación condescendiente asumiendo ignorancia
"Llave, lo que realmente pasa es",Interesante perspectiva,micromachismos,mansplaining,Colombia,pareja,"['llave,' 'realmente' 'pasa']",Explicación condescendiente asumiendo ignorancia
"Es más complejo de lo que piensas, entonces, llave",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,educativo,"['complejo' 'piensas,' 'entonces,' 'llave']",Explicación condescendiente asumiendo ignorancia
"Uy, permíteme aclararte parce",¿Qué opinas?,micromachismos,mansplaining,Colombia,redes_sociales,['permíteme' 'aclararte' 'parce'],Explicación condescendiente asumiendo ignorancia
"Uy, no entendiste el punto",¿Qué opinas?,micromachismos,mansplaining,Colombia,educativo,['entendiste' 'punto'],Explicación condescendiente asumiendo ignorancia
"Mi amor, permíteme aclararte, parcero",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,educativo,"['amor,' 'permíteme' 'aclararte,' 'parcero']",Explicación condescendiente asumiendo ignorancia
Déjame hacerte un dibujito,Interesante perspectiva,micromachismos,mansplaining,Colombia,calle,['déjame' 'hacerte' 'dibujito'],Explicación condescendiente asumiendo ignorancia
"Mijo, no entendiste el visión",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,calle,"['mijo,' 'entendiste' 'visión']",Explicación condescendiente asumiendo ignorancia
"Te falta contexto, llave",Interesante perspectiva,micromachismos,mansplaining,Colombia,pareja,"['falta' 'contexto,' 'llave']",Explicación condescendiente asumiendo ignorancia
"Llave, no entiendes la lógica",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,pareja,"['llave,' 'entiendes' 'lógica']",Explicación condescendiente asumiendo ignorancia
"Parce, te lo simplifico, parce",¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,redes_sociales,"['parce,' 'simplifico,' 'parce']",Explicación condescendiente asumiendo ignorancia
Déjame corregirte uy,¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,pareja,['déjame' 'corregirte'],Explicación condescendiente asumiendo ignorancia
Te lo voy a poner simple,Cuéntame más,micromachismos,mansplaining,Colombia,laboral,['poner' 'simple'],Explicación condescendiente asumiendo ignorancia
No entiendes la lógica llave,¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,citas,['entiendes' 'lógica' 'llave'],Explicación condescendiente asumiendo ignorancia
"Parcero, déjame hacerte un dibujito",¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,citas,"['parcero,' 'déjame' 'hacerte' 'dibujito']",Explicación condescendiente asumiendo ignorancia
"Parce, lo que no sabes es, pues",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,social,"['parce,' 'sabes' 'pues']",Explicación condescendiente asumiendo ignorancia
Es más complejo de lo que piensas,Interesante perspectiva,micromachismos,mansplaining,Colombia,familia,['complejo' 'piensas'],Explicación condescendiente asumiendo ignorancia
No entendiste el punto uy,Cuéntame más,micromachismos,mansplaining,Colombia,educativo,['entendiste' 'punto'],Explicación condescendiente asumiendo ignorancia
"Llave, lo que no sabes es, ya que, parce",Interesante perspectiva,micromachismos,mansplaining,Colombia,calle,"['llave,' 'sabes' 'que,' 'parce']",Explicación condescendiente asumiendo ignorancia
"Parcero, lo que realmente pasa es, entonces",¿Qué opinas?,micromachismos,mansplaining,Colombia,redes_sociales,"['parcero,' 'realmente' 'pasa' 'entonces']",Explicación condescendiente asumiendo ignorancia
Te lo simplifico,¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,educativo,['simplifico'],Explicación condescendiente asumiendo ignorancia
"Parce, te lo simplifico mi amor",Cuéntame más,micromachismos,mansplaining,Colombia,pareja,"['parce,' 'simplifico' 'amor']",Explicación condescendiente asumiendo ignorancia
"Mi amor, no es exactamente así",Interesante perspectiva,micromachismos,mansplaining,Colombia,educativo,"['amor,' 'exactamente']",Explicación condescendiente asumiendo ignorancia
"En realidad funciona diferente, parce",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,educativo,"['realidad' 'funciona' 'diferente,' 'parce']",Explicación condescendiente asumiendo ignorancia
"Mijo, te lo voy a poner simple",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,redes_sociales,"['mijo,' 'poner' 'simple']",Explicación condescendiente asumiendo ignorancia
"Uy, es más complejo de lo que piensas",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,social,['complejo' 'piensas'],Explicación condescendiente asumiendo ignorancia
Déjame explicarte algo básico uy,Interesante perspectiva,micromachismos,mansplaining,Colombia,familia,['déjame' 'explicarte' 'algo' 'básico'],Explicación condescendiente asumiendo ignorancia
"Mijo, en realidad funciona diferente, llave",¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,citas,"['mijo,' 'realidad' 'funciona' 'diferente,']",Explicación condescendiente asumiendo ignorancia
"No entiendes la lógica, parcero",Interesante perspectiva,micromachismos,mansplaining,Colombia,calle,"['entiendes' 'lógica,' 'parcero']",Explicación condescendiente asumiendo ignorancia
"Llave, déjame corregirte",¿Qué opinas?,micromachismos,mansplaining,Colombia,educativo,"['llave,' 'déjame' 'corregirte']",Explicación condescendiente asumiendo ignorancia
"Mijo, no entendiste el punto",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,laboral,"['mijo,' 'entendiste' 'punto']",Explicación condescendiente asumiendo ignorancia
No entiendes el concepto mijo,¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,citas,['entiendes' 'concepto' 'mijo'],Explicación condescendiente asumiendo ignorancia
Permíteme aclararte parce,¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,redes_sociales,['permíteme' 'aclararte' 'parce'],Explicación condescendiente asumiendo ignorancia
En realidad funciona diferente uy,¿Qué opinas?,micromachismos,mansplaining,Colombia,citas,['realidad' 'funciona' 'diferente'],Explicación condescendiente asumiendo ignorancia
"Permíteme aclararte, parce",Cuéntame más,micromachismos,mansplaining,Colombia,redes_sociales,"['permíteme' 'aclararte,' 'parce']",Explicación condescendiente asumiendo ignorancia
"Mi amor, no entiendes el concepto, llave",¿Qué opinas?,micromachismos,mansplaining,Colombia,pareja,"['amor,' 'entiendes' 'concepto,' 'llave']",Explicación condescendiente asumiendo ignorancia
"Uy, no entendiste el punto, parcero",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,calle,"['entendiste' 'punto,' 'parcero']",Explicación condescendiente asumiendo ignorancia
"En realidad funciona diferente, mi amor",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,pareja,"['realidad' 'funciona' 'diferente,' 'amor']",Explicación condescendiente asumiendo ignorancia
Lo que no sabes es,¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,redes_sociales,['sabes'],Explicación condescendiente asumiendo ignorancia
No entendiste el punto mijo,Interesante perspectiva,micromachismos,mansplaining,Colombia,social,['entendiste' 'punto' 'mijo'],Explicación condescendiente asumiendo ignorancia
"Llave, te lo voy a poner simple",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,calle,"['llave,' 'poner' 'simple']",Explicación condescendiente asumiendo ignorancia
"Te falta contexto, porque",¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,pareja,"['falta' 'contexto,' 'porque']",Explicación condescendiente asumiendo ignorancia
"Mi amor, no entiendes la lógica",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,calle,"['amor,' 'entiendes' 'lógica']",Explicación condescendiente asumiendo ignorancia
"Déjame hacerte un dibujito, mira",Interesante perspectiva,micromachismos,mansplaining,Colombia,laboral,"['déjame' 'hacerte' 'dibujito,' 'mira']",Explicación condescendiente asumiendo ignorancia
"Parcero, déjame corregirte, entonces",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,familia,"['parcero,' 'déjame' 'corregirte,' 'entonces']",Explicación condescendiente asumiendo ignorancia
"Uy, permíteme aclararte",Interesante perspectiva,micromachismos,mansplaining,Colombia,calle,['permíteme' 'aclararte'],Explicación condescendiente asumiendo ignorancia
"Llave, no entiendes el concepto, uy",¿Qué opinas?,micromachismos,mansplaining,Colombia,redes_sociales,"['llave,' 'entiendes' 'concepto,']",Explicación condescendiente asumiendo ignorancia
"Parce, no es exactamente así, así que",Interesante perspectiva,micromachismos,mansplaining,Colombia,citas,"['parce,' 'exactamente' 'así,']",Explicación condescendiente asumiendo ignorancia
"Déjame corregirte, mijo",Cuéntame más,micromachismos,mansplaining,Colombia,familia,"['déjame' 'corregirte,' 'mijo']",Explicación condescendiente asumiendo ignorancia
"Parce, es más complejo de lo que piensas, pues",Cuéntame más,micromachismos,mansplaining,Colombia,social,"['parce,' 'complejo' 'piensas,' 'pues']",Explicación condescendiente asumiendo ignorancia
"Parcero, no entendiste el punto mi amor",¿Qué opinas?,micromachismos,mansplaining,Colombia,laboral,"['parcero,' 'entendiste' 'punto' 'amor']",Explicación condescendiente asumiendo ignorancia
No entiendes la lógica parcero,Interesante perspectiva,micromachismos,mansplaining,Colombia,familia,['entiendes' 'lógica' 'parcero'],Explicación condescendiente asumiendo ignorancia
"Te lo voy a poner simple, uy",Interesante perspectiva,micromachismos,mansplaining,Colombia,redes_sociales,"['poner' 'simple,']",Explicación condescendiente asumiendo ignorancia
Lo que realmente pasa es parcero,¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,laboral,['realmente' 'pasa' 'parcero'],Explicación condescendiente asumiendo ignorancia
"Uy, déjame corregirte",¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,pareja,['déjame' 'corregirte'],Explicación condescendiente asumiendo ignorancia
"Parcero, no entendiste el punto",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,social,"['parcero,' 'entendiste' 'punto']",Explicación condescendiente asumiendo ignorancia
"No entiendes el concepto, así que",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,familia,"['entiendes' 'concepto,']",Explicación condescendiente asumiendo ignorancia
No entiendes el concepto uy,¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,educativo,['entiendes' 'concepto'],Explicación condescendiente asumiendo ignorancia
"Déjame corregirte, o sea",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,calle,"['déjame' 'corregirte,']",Explicación condescendiente asumiendo ignorancia
Déjame hacerte un dibujito llave,¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,citas,['déjame' 'hacerte' 'dibujito' 'llave'],Explicación condescendiente asumiendo ignorancia
No entendiste el punto parce,Cuéntame más,micromachismos,mansplaining,Colombia,calle,['entendiste' 'punto' 'parce'],Explicación condescendiente asumiendo ignorancia
"Déjame explicarte algo básico, así que",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,calle,"['déjame' 'explicarte' 'algo' 'básico,']",Explicación condescendiente asumiendo ignorancia
Te lo simplifico uy,Cuéntame más,micromachismos,mansplaining,Colombia,calle,['simplifico'],Explicación condescendiente asumiendo ignorancia
"Déjame hacerte un dibujito, uy",Interesante perspectiva,micromachismos,mansplaining,Colombia,pareja,"['déjame' 'hacerte' 'dibujito,']",Explicación condescendiente asumiendo ignorancia
"Te falta contexto, entonces, mi amor",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,redes_sociales,"['falta' 'contexto,' 'entonces,' 'amor']",Explicación condescendiente asumiendo ignorancia
"Déjame corregirte, llave",¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,calle,"['déjame' 'corregirte,' 'llave']",Explicación condescendiente asumiendo ignorancia
"No entiendes la lógica, llave",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,calle,"['entiendes' 'lógica,' 'llave']",Explicación condescendiente asumiendo ignorancia
"Parcero, te lo simplifico",Interesante perspectiva,micromachismos,mansplaining,Colombia,pareja,"['parcero,' 'simplifico']",Explicación condescendiente asumiendo ignorancia
"Uy, lo que realmente pasa es parce",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,laboral,['realmente' 'pasa' 'parce'],Explicación condescendiente asumiendo ignorancia
"Llave, permíteme aclararte",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,social,"['llave,' 'permíteme' 'aclararte']",Explicación condescendiente asumiendo ignorancia
En realidad funciona diferente parcero,Cuéntame más,micromachismos,mansplaining,Colombia,social,['realidad' 'funciona' 'diferente' 'parcero'],Explicación condescendiente asumiendo ignorancia
En realidad funciona diferente,¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,familia,['realidad' 'funciona' 'diferente'],Explicación condescendiente asumiendo ignorancia
"Uy, déjame corregirte uy",¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,pareja,['déjame' 'corregirte'],Explicación condescendiente asumiendo ignorancia
Lo que no sabes es mijo,¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,redes_sociales,['sabes' 'mijo'],Explicación condescendiente asumiendo ignorancia
Permíteme aclararte,Interesante perspectiva,micromachismos,mansplaining,Colombia,familia,['permíteme' 'aclararte'],Explicación condescendiente asumiendo ignorancia
"Mi amor, no entendiste el punto",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,laboral,"['amor,' 'entendiste' 'punto']",Explicación condescendiente asumiendo ignorancia
"No es exactamente así, parcero",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,pareja,"['exactamente' 'así,' 'parcero']",Explicación condescendiente asumiendo ignorancia
"Mijo, déjame corregirte, ya que",¿Qué opinas?,micromachismos,mansplaining,Colombia,social,"['mijo,' 'déjame' 'corregirte,']",Explicación condescendiente asumiendo ignorancia
"Lo que no sabes es, mijo",¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,laboral,['sabes' 'mijo'],Explicación condescendiente asumiendo ignorancia
"Mijo, te falta contexto",Interesante perspectiva,micromachismos,mansplaining,Colombia,laboral,"['mijo,' 'falta' 'contexto']",Explicación condescendiente asumiendo ignorancia
"No es exactamente así, uy",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,educativo,"['exactamente' 'así,']",Explicación condescendiente asumiendo ignorancia
"No entiendes la lógica, entonces",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,redes_sociales,"['entiendes' 'lógica,' 'entonces']",Explicación condescendiente asumiendo ignorancia
"Mi amor, no entiendes el concepto",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,laboral,"['amor,' 'entiendes' 'concepto']",Explicación condescendiente asumiendo ignorancia
"Déjame corregirte, parcero",Interesante perspectiva,micromachismos,mansplaining,Colombia,redes_sociales,"['déjame' 'corregirte,' 'parcero']",Explicación condescendiente asumiendo ignorancia
"Permíteme aclararte, mira mi amor",¿Qué opinas?,micromachismos,mansplaining,Colombia,redes_sociales,"['permíteme' 'aclararte,' 'mira' 'amor']",Explicación condescendiente asumiendo ignorancia
"Lo que no sabes es, pues mijo",Cuéntame más,micromachismos,mansplaining,Colombia,laboral,['sabes' 'pues' 'mijo'],Explicación condescendiente asumiendo ignorancia
"Parce, lo que realmente pasa es",Interesante perspectiva,micromachismos,mansplaining,Colombia,familia,"['parce,' 'realmente' 'pasa']",Explicación condescendiente asumiendo ignorancia
No es exactamente así uy,¿Qué opinas?,micromachismos,mansplaining,Colombia,laboral,['exactamente'],Explicación condescendiente asumiendo ignorancia
Lo que no sabes es parcero,¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,familia,['sabes' 'parcero'],Explicación condescendiente asumiendo ignorancia
"Te falta contexto parce, mira",¿Qué opinas?,micromachismos,mansplaining,Colombia,educativo,"['falta' 'contexto' 'parce,' 'mira']",Explicación condescendiente asumiendo ignorancia
"Mi amor, déjame hacerte un dibujito, porque llave",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,redes_sociales,"['amor,' 'déjame' 'hacerte' 'dibujito,']",Explicación condescendiente asumiendo ignorancia
"No entiendes la lógica, parce",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,laboral,"['entiendes' 'lógica,' 'parce']",Explicación condescendiente asumiendo ignorancia
"Te lo simplifico, parcero",Interesante perspectiva,micromachismos,mansplaining,Colombia,pareja,"['simplifico,' 'parcero']",Explicación condescendiente asumiendo ignorancia
Déjame explicarte algo básico llave,¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,educativo,['déjame' 'explicarte' 'algo' 'básico'],Explicación condescendiente asumiendo ignorancia
"Es más complejo de lo que piensas, uy",¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,pareja,"['complejo' 'piensas,']",Explicación condescendiente asumiendo ignorancia
"Uy, te lo voy a poner simple parcero",¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,pareja,['poner' 'simple' 'parcero'],Explicación condescendiente asumiendo ignorancia
"Parce, es más complejo de lo que piensas",¿Qué opinas?,micromachismos,mansplaining,Colombia,pareja,"['parce,' 'complejo' 'piensas']",Explicación condescendiente asumiendo ignorancia
"Uy, no entendiste el punto, mijo",Cuéntame más,micromachismos,mansplaining,Colombia,citas,"['entendiste' 'punto,' 'mijo']",Explicación condescendiente asumiendo ignorancia
"No entiendes el concepto, mijo",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,citas,"['entiendes' 'concepto,' 'mijo']",Explicación condescendiente asumiendo ignorancia
"Uy, permíteme aclararte mijo",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,social,['permíteme' 'aclararte' 'mijo'],Explicación condescendiente asumiendo ignorancia
"No es exactamente así, llave",Interesante perspectiva,micromachismos,mansplaining,Colombia,laboral,"['exactamente' 'así,' 'llave']",Explicación condescendiente asumiendo ignorancia
"Uy, te lo simplifico",Cuéntame más,micromachismos,mansplaining,Colombia,laboral,['simplifico'],Explicación condescendiente asumiendo ignorancia
"Mijo, en realidad funciona diferente",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,social,"['mijo,' 'realidad' 'funciona' 'diferente']",Explicación condescendiente asumiendo ignorancia
"Déjame corregirte, mira",¿Qué opinas?,micromachismos,mansplaining,Colombia,pareja,"['déjame' 'corregirte,' 'mira']",Explicación condescendiente asumiendo ignorancia
"Es más complejo de lo que piensas, mi amor",Interesante perspectiva,micromachismos,mansplaining,Colombia,redes_sociales,"['complejo' 'piensas,' 'amor']",Explicación condescendiente asumiendo ignorancia
"Mi amor, lo que no sabes es, llave",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,educativo,"['amor,' 'sabes' 'llave']",Explicación condescendiente asumiendo ignorancia
No es exactamente así mi amor,Interesante perspectiva,micromachismos,mansplaining,Colombia,citas,['exactamente' 'amor'],Explicación condescendiente asumiendo ignorancia
"Mijo, no es exactamente así, mi amor",¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,familia,"['mijo,' 'exactamente' 'así,' 'amor']",Explicación condescendiente asumiendo ignorancia
"Déjame explicarte algo básico, porque",Interesante perspectiva,micromachismos,mansplaining,Colombia,laboral,"['déjame' 'explicarte' 'algo' 'básico,']",Explicación condescendiente asumiendo ignorancia
"Uy, te falta contexto",Interesante perspectiva,micromachismos,mansplaining,Colombia,familia,['falta' 'contexto'],Explicación condescendiente asumiendo ignorancia
Lo que no sabes es mi amor,¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,pareja,['sabes' 'amor'],Explicación condescendiente asumiendo ignorancia
Lo que no sabes es llave,¿Qué opinas?,micromachismos,mansplaining,Colombia,social,['sabes' 'llave'],Explicación condescendiente asumiendo ignorancia
"No entendiste el visión, mira",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,laboral,"['entendiste' 'visión,' 'mira']",Explicación condescendiente asumiendo ignorancia
"Llave, no es exactamente así parce, pues",¿Qué opinas?,micromachismos,mansplaining,Colombia,educativo,"['llave,' 'exactamente' 'parce,' 'pues']",Explicación condescendiente asumiendo ignorancia
"Parcero, no entiendes el concepto, llave",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,familia,"['parcero,' 'entiendes' 'concepto,' 'llave']",Explicación condescendiente asumiendo ignorancia
"Llave, no es exactamente así",Interesante perspectiva,micromachismos,mansplaining,Colombia,citas,"['llave,' 'exactamente']",Explicación condescendiente asumiendo ignorancia
No entiendes la lógica parce,¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,laboral,['entiendes' 'lógica' 'parce'],Explicación condescendiente asumiendo ignorancia
"Parce, déjame corregirte",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,laboral,"['parce,' 'déjame' 'corregirte']",Explicación condescendiente asumiendo ignorancia
"Parcero, déjame explicarte algo básico",¿Qué opinas?,micromachismos,mansplaining,Colombia,social,"['parcero,' 'déjame' 'explicarte' 'algo']",Explicación condescendiente asumiendo ignorancia
"Mijo, no entendiste el punto parcero",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,educativo,"['mijo,' 'entendiste' 'punto' 'parcero']",Explicación condescendiente asumiendo ignorancia
"Mi amor, te lo simplifico, porque",Cuéntame más,micromachismos,mansplaining,Colombia,calle,"['amor,' 'simplifico,' 'porque']",Explicación condescendiente asumiendo ignorancia
"Parcero, te lo simplifico mijo",Interesante perspectiva,micromachismos,mansplaining,Colombia,redes_sociales,"['parcero,' 'simplifico' 'mijo']",Explicación condescendiente asumiendo ignorancia
"Déjame hacerte un dibujito, así que",Cuéntame más,micromachismos,mansplaining,Colombia,laboral,"['déjame' 'hacerte' 'dibujito,']",Explicación condescendiente asumiendo ignorancia
Te falta contexto mi amor,¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,educativo,['falta' 'contexto' 'amor'],Explicación condescendiente asumiendo ignorancia
"Parce, te lo voy a poner simple",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,pareja,"['parce,' 'poner' 'simple']",Explicación condescendiente asumiendo ignorancia
"Permíteme aclararte, mi amor",Interesante perspectiva,micromachismos,mansplaining,Colombia,citas,"['permíteme' 'aclararte,' 'amor']",Explicación condescendiente asumiendo ignorancia
"Mi amor, déjame hacerte un dibujito",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,social,"['amor,' 'déjame' 'hacerte' 'dibujito']",Explicación condescendiente asumiendo ignorancia
Permíteme aclararte mi amor,¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,redes_sociales,['permíteme' 'aclararte' 'amor'],Explicación condescendiente asumiendo ignorancia
Te falta contexto uy,Interesante perspectiva,micromachismos,mansplaining,Colombia,calle,['falta' 'contexto'],Explicación condescendiente asumiendo ignorancia
"Mi amor, déjame corregirte, ya que",Cuéntame más,micromachismos,mansplaining,Colombia,laboral,"['amor,' 'déjame' 'corregirte,']",Explicación condescendiente asumiendo ignorancia
"Mi amor, déjame explicarte algo básico, llave",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,pareja,"['amor,' 'déjame' 'explicarte' 'algo']",Explicación condescendiente asumiendo ignorancia
"Uy, no es exactamente así parce",¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,laboral,['exactamente' 'parce'],Explicación condescendiente asumiendo ignorancia
"Mijo, permíteme aclararte",Cuéntame más,micromachismos,mansplaining,Colombia,pareja,"['mijo,' 'permíteme' 'aclararte']",Explicación condescendiente asumiendo ignorancia
"Mijo, no entiendes el concepto, porque",¿Qué opinas?,micromachismos,mansplaining,Colombia,calle,"['mijo,' 'entiendes' 'concepto,' 'porque']",Explicación condescendiente asumiendo ignorancia
Te falta contexto parce,Interesante perspectiva,micromachismos,mansplaining,Colombia,redes_sociales,['falta' 'contexto' 'parce'],Explicación condescendiente asumiendo ignorancia
"Mi amor, no entiendes el concepto, mira",¿Cómo llegaste a esa conclusión?,micromachismos,mansplaining,Colombia,social,"['amor,' 'entiendes' 'concepto,' 'mira']",Explicación condescendiente asumiendo ignorancia
"Mi amor, es más complejo de lo que piensas, entonces",Interesante perspectiva,micromachismos,mansplaining,Colombia,redes_sociales,"['amor,' 'complejo' 'piensas,' 'entonces']",Explicación condescendiente asumiendo ignorancia
"Déjame hacerte un dibujito, parce",¿Cómo ves el tema?,micromachismos,mansplaining,Colombia,redes_sociales,"['déjame' 'hacerte' 'dibujito,' 'parce']",Explicación condescendiente asumiendo ignorancia
"Mijo, no entiendes el concepto",¿Podrías explicar tu enfoque?,micromachismos,mansplaining,Colombia,educativo,"['mijo,' 'entiendes' 'concepto']",Explicación condescendiente asumiendo ignorancia
"Mi amor, déjame explicarte algo básico",Cuéntame más,micromachismos,mansplaining,Colombia,social,"['amor,' 'déjame' 'explicarte' 'algo']",Explicación condescendiente asumiendo ignorancia
